iter	Passed	Remaining
0	147	146897
1	154	77101
2	160	53204
3	167	41627
4	174	34679
5	180	29958
6	187	26553
7	195	24248
8	203	22378
9	209	20761
10	215	19375
11	220	18132
12	226	17166
13	234	16519
14	240	15783
15	247	15228
16	254	14714
17	260	14194
18	267	13831
19	274	13450
20	280	13064
21	285	12708
22	292	12429
23	300	12206
24	307	11976
25	314	11775
26	320	11566
27	328	11409
28	336	11265
29	344	11138
30	350	10952
31	358	10847
32	364	10691
33	371	10566
34	378	10446
35	384	10287
36	391	10187
37	399	10103
38	405	10003
39	412	9897
40	419	9800
41	427	9755
42	434	9668
43	441	9602
44	448	9524
45	455	9445
46	462	9377
47	468	9296
48	474	9216
49	481	9146
50	488	9086
51	496	9055
52	505	9034
53	511	8969
54	518	8909
55	525	8855
56	531	8794
57	537	8733
58	544	8678
59	550	8630
60	557	8578
61	564	8532
62	570	8481
63	576	8434
64	582	8375
65	588	8325
66	593	8271
67	600	8225
68	606	8178
69	611	8122
70	616	8068
71	623	8032
72	628	7984
73	635	7953
74	642	7927
75	649	7901
76	655	7862
77	663	7839
78	671	7831
79	678	7798
80	685	7779
81	693	7764
82	700	7742
83	707	7717
84	715	7698
85	723	7690
86	731	7677
87	738	7652
88	744	7624
89	753	7620
90	761	7603
91	769	7593
92	776	7572
93	783	7553
94	791	7537
95	797	7507
96	803	7482
97	810	7458
98	818	7452
99	827	7448
100	836	7444
101	842	7416
102	850	7405
103	857	7386
104	864	7369
105	872	7358
106	880	7349
107	888	7336
108	896	7324
109	903	7309
110	910	7289
111	917	7278
112	925	7267
113	932	7246
114	941	7243
115	948	7227
116	956	7220
117	963	7203
118	971	7190
119	978	7175
120	984	7151
121	990	7130
122	997	7112
123	1004	7095
124	1011	7082
125	1019	7074
126	1026	7059
127	1034	7047
128	1042	7036
129	1048	7015
130	1054	6992
131	1060	6973
132	1066	6950
133	1071	6926
134	1079	6917
135	1085	6894
136	1093	6887
137	1101	6882
138	1111	6886
139	1120	6883
140	1130	6889
141	1139	6885
142	1149	6888
143	1158	6888
144	1168	6889
145	1176	6883
146	1186	6885
147	1196	6885
148	1216	6947
149	1225	6946
150	1233	6935
151	1241	6927
152	1249	6917
153	1258	6911
154	1266	6904
155	1275	6900
156	1284	6895
157	1293	6894
158	1301	6882
159	1312	6888
160	1320	6879
161	1327	6865
162	1336	6860
163	1345	6859
164	1354	6854
165	1362	6844
166	1370	6835
167	1376	6816
168	1384	6806
169	1393	6802
170	1401	6793
171	1408	6779
172	1416	6769
173	1422	6750
174	1428	6735
175	1437	6727
176	1444	6716
177	1450	6700
178	1458	6691
179	1466	6679
180	1473	6666
181	1482	6663
182	1489	6650
183	1496	6637
184	1503	6625
185	1510	6609
186	1518	6599
187	1525	6587
188	1531	6572
189	1538	6559
190	1545	6546
191	1552	6535
192	1559	6519
193	1564	6501
194	1572	6491
195	1578	6475
196	1584	6458
197	1590	6442
198	1599	6439
199	1607	6428
200	1615	6423
